title;doi;received month;received year;accepted month;accepted year;published month;published year;issued month;issued year;received - accepted;accepted - published;published - issued
Targeted neurotechnology restores walking in humans with spinal cord injury;https://doi.org/10.1038/s41586-018-0649-2;June;2018;October;2018;October;2018;November;2018;101;30;1
DYNLL1 binds to MRE11 to limit DNA end resection in BRCA1-deficient cells;https://doi.org/10.1038/s41586-018-0670-5;April;2018;September;2018;October;2018;November;2018;150;36;22
Shared and distinct transcriptomic cell types across neocortical areas;https://doi.org/10.1038/s41586-018-0654-5;December;2017;September;2018;October;2018;November;2018;293;37;1
Gene expression variability across cells and species shapes innate immunity;https://doi.org/10.1038/s41586-018-0657-2;August;2017;August;2018;October;2018;November;2018;358;68;15
De novo NAD+ synthesis enhances mitochondrial function and improves health;https://doi.org/10.1038/s41586-018-0645-6;September;2017;September;2018;October;2018;November;2018;365;36;22
Mechanoresponsive stem cells acquire neural crest fate in jaw regeneration;https://doi.org/10.1038/s41586-018-0650-9;November;2017;August;2018;October;2018;November;2018;265;70;29
Rock fluidization during peak-ring formation of large impact structures;https://doi.org/10.1038/s41586-018-0607-z;February;2018;August;2018;October;2018;October;2018;168;70;1
The Moral Machine experiment;https://doi.org/10.1038/s41586-018-0637-6;March;2018;September;2018;October;2018;November;2018;207;29;8
Comprehensive measurement of pp-chain solar neutrinos;https://doi.org/10.1038/s41586-018-0624-y;March;2018;August;2018;October;2018;October;2018;153;62;1
Improved limit on the electric dipole moment of the electron;https://doi.org/10.1038/s41586-018-0599-8;June;2018;August;2018;October;2018;October;2018;69;58;1
Elucidating the control and development of skin patterning in cuttlefish;https://doi.org/10.1038/s41586-018-0591-3;January;2018;August;2018;October;2018;October;2018;189;70;1
Functional genomic landscape of acute myeloid leukaemia;https://doi.org/10.1038/s41586-018-0623-z;April;2018;August;2018;October;2018;October;2018;132;64;8
Transcription factor dimerization activates the p300 acetyltransferase;https://doi.org/10.1038/s41586-018-0621-1;February;2018;August;2018;October;2018;October;2018;182;61;10
The UK Biobank resource with deep phenotyping and genomic data;https://doi.org/10.1038/s41586-018-0579-z;June;2018;September;2018;October;2018;October;2018;70;34;1
Pathogen elimination by probiotic Bacillus via signalling interference;https://doi.org/10.1038/s41586-018-0616-y;June;2017;August;2018;October;2018;October;2018;429;57;15
Options for keeping the food system within environmental limits;https://doi.org/10.1038/s41586-018-0594-0;February;2018;August;2018;October;2018;October;2018;189;41;15
Genome-wide association studies of brain imaging phenotypes in UK Biobank;https://doi.org/10.1038/s41586-018-0571-7;November;2017;September;2018;October;2018;October;2018;305;36;1
Transcriptional recording by CRISPR spacer acquisition from RNA;https://doi.org/10.1038/s41586-018-0569-1;May;2018;August;2018;October;2018;October;2018;111;43;15
Antibody and TLR7 agonist delay viral rebound in SHIV-infected monkeys;https://doi.org/10.1038/s41586-018-0600-6;April;2018;September;2018;October;2018;November;2018;146;19;43
Single-cell transcriptomics of 20 mouse organs creates a Tabula Muris;https://doi.org/10.1038/s41586-018-0590-4;December;2017;August;2018;October;2018;October;2018;243;44;15
Erythro-myeloid progenitors contribute endothelial cells to blood vessels;https://doi.org/10.1038/s41586-018-0552-x;December;2016;August;2018;September;2018;October;2018;609;40;15
Combination therapy with anti-HIV-1 antibodies maintains viral suppression;https://doi.org/10.1038/s41586-018-0531-2;June;2018;July;2018;September;2018;September;2018;54;58;1
Plant functional trait change across a warming tundra biome;https://doi.org/10.1038/s41586-018-0563-7;September;2017;August;2018;September;2018;October;2018;327;49;8
The interaction landscape between transcription factors and the nucleosome;https://doi.org/10.1038/s41586-018-0549-5;September;2017;August;2018;September;2018;October;2018;317;49;10
T cells in patients with narcolepsy target self-antigens of hypocretin neurons;https://doi.org/10.1038/s41586-018-0540-1;February;2018;August;2018;September;2018;October;2018;186;40;15
Tc toxin activation requires unfolding and refolding of a β-propeller;https://doi.org/10.1038/s41586-018-0556-6;January;2018;August;2018;September;2018;November;2018;225;27;50
Necroptosis microenvironment directs lineage commitment in liver cancer;https://doi.org/10.1038/s41586-018-0519-y;August;2017;August;2018;September;2018;October;2018;341;39;22
Optimized arylomycins are a new class of Gram-negative antibiotics;https://doi.org/10.1038/s41586-018-0483-6;October;2017;June;2018;September;2018;September;2018;263;78;1
Accurate classification of BRCA1 variants with saturation genome editing;https://doi.org/10.1038/s41586-018-0461-z;January;2018;July;2018;September;2018;October;2018;178;48;29
De novo design of a fluorescence-activating β-barrel;https://doi.org/10.1038/s41586-018-0509-0;March;2018;August;2018;September;2018;September;2018;144;33;15
The genetic basis and cell of origin of mixed phenotype acute leukaemia;https://doi.org/10.1038/s41586-018-0436-0;September;2017;July;2018;September;2018;October;2018;305;71;36
Cryo-EM structure of the active, Gs-protein complexed, human CGRP receptor;https://doi.org/10.1038/s41586-018-0535-y;June;2018;June;2018;September;2018;September;2018;25;78;15
A homing system targets therapeutic T cells to brain cancer;https://doi.org/10.1038/s41586-018-0499-y;October;2017;August;2018;September;2018;September;2018;301;28;15
Coupling of bone resorption and formation by RANKL reverse signalling;https://doi.org/10.1038/s41586-018-0482-7;July;2016;August;2018;September;2018;September;2018;741;34;8
Population dynamics of normal human blood inferred from somatic mutations;https://doi.org/10.1038/s41586-018-0497-0;February;2018;August;2018;September;2018;September;2018;154;35;22
Extensive sex differences at the initiation of genetic recombination;https://doi.org/10.1038/s41586-018-0492-5;December;2017;July;2018;September;2018;September;2018;215;49;15
Precancerous neoplastic cells can move through the pancreatic ductal system;https://doi.org/10.1038/s41586-018-0481-8;February;2018;July;2018;September;2018;September;2018;162;52;10
Integrating time from experience in the lateral entorhinal cortex;https://doi.org/10.1038/s41586-018-0459-6;September;2017;July;2018;August;2018;September;2018;281;57;8
Role of glutamine synthetase in angiogenesis beyond glutamine synthesis;https://doi.org/10.1038/s41586-018-0466-7;January;2016;July;2018;August;2018;September;2018;922;42;8
Structural mechanisms of selectivity and gating in anion channelrhodopsins;https://doi.org/10.1038/s41586-018-0504-5;February;2018;August;2018;August;2018;September;2018;171;16;22
Crystal structure of the natural anion-conducting channelrhodopsin GtACR1;https://doi.org/10.1038/s41586-018-0511-6;February;2018;August;2018;August;2018;September;2018;171;16;22
Measurements of the gravitational constant using two independent methods;https://doi.org/10.1038/s41586-018-0431-5;April;2018;July;2018;August;2018;August;2018;67;55;1
Malaria parasite translocon structure and mechanism of effector export;https://doi.org/10.1038/s41586-018-0469-4;March;2018;July;2018;August;2018;September;2018;112;39;10
Structure of paused transcription complex Pol II–DSIF–NELF;https://doi.org/10.1038/s41586-018-0442-2;March;2018;July;2018;August;2018;August;2018;120;36;8
Structure of activated transcription complex Pol II–DSIF–PAF–SPT6;https://doi.org/10.1038/s41586-018-0440-4;March;2018;July;2018;August;2018;August;2018;120;36;8
Modulating plant growth–metabolism coordination for sustainable agriculture;https://doi.org/10.1038/s41586-018-0415-5;February;2018;July;2018;August;2018;August;2018;146;41;15
Cryo-EM structure of the insect olfactory receptor Orco;https://doi.org/10.1038/s41586-018-0420-8;January;2018;June;2018;August;2018;August;2018;149;56;8
Autism-like phenotype and risk gene mRNA deadenylation by CPEB4 mis-splicing;https://doi.org/10.1038/s41586-018-0423-5;May;2017;June;2018;August;2018;August;2018;410;50;8
Genetic and transcriptional evolution alters cancer cell line drug response;https://doi.org/10.1038/s41586-018-0409-3;September;2017;June;2018;August;2018;August;2018;266;47;8
5-HT release in nucleus accumbens rescues social deficits in mouse autism model;https://doi.org/10.1038/s41586-018-0416-4;June;2017;June;2018;August;2018;August;2018;370;42;22
Creating a functional single-chromosome yeast;https://doi.org/10.1038/s41586-018-0382-x;September;2017;June;2018;August;2018;August;2018;266;40;15
A revised airway epithelial hierarchy includes CFTR-expressing ionocytes;https://doi.org/10.1038/s41586-018-0393-7;July;2017;June;2018;August;2018;August;2018;325;41;15
Niobium tungsten oxides for high-rate lithium-ion energy storage;https://doi.org/10.1038/s41586-018-0347-0;October;2017;June;2018;July;2018;July;2018;228;44;1
Functional aspects of meningeal lymphatics in ageing and Alzheimer’s disease;https://doi.org/10.1038/s41586-018-0368-8;September;2017;June;2018;July;2018;August;2018;259;40;15
Coherent spin–photon coupling using a resonant exchange qubit;https://doi.org/10.1038/s41586-018-0365-y;January;2018;June;2018;July;2018;August;2018;166;36;15
New mitochondrial DNA synthesis enables NLRP3 inflammasome activation;https://doi.org/10.1038/s41586-018-0372-z;August;2017;June;2018;July;2018;August;2018;313;42;15
Cyclin-dependent kinase 12 is a drug target for visceral leishmaniasis;https://doi.org/10.1038/s41586-018-0356-z;August;2017;June;2018;July;2018;August;2018;306;44;15
Leukaemia hijacks a neural mechanism to invade the central nervous system;https://doi.org/10.1038/s41586-018-0342-5;September;2017;June;2018;July;2018;August;2018;265;36;15
Electron ptychography of 2D materials to deep sub-ångström resolution;https://doi.org/10.1038/s41586-018-0298-5;January;2018;May;2018;July;2018;July;2018;130;55;1
Genome-centric view of carbon processing in thawing permafrost;https://doi.org/10.1038/s41586-018-0338-1;June;2017;June;2018;July;2018;August;2018;355;41;17
X-ray and cryo-EM structures of the mitochondrial calcium uniporter;https://doi.org/10.1038/s41586-018-0330-9;January;2018;May;2018;July;2018;July;2018;130;55;15
Cryo-EM structure of a fungal mitochondrial calcium uniporter;https://doi.org/10.1038/s41586-018-0333-6;January;2018;May;2018;July;2018;July;2018;130;57;15
Cryo-EM structures of fungal and metazoan mitochondrial calcium uniporters;https://doi.org/10.1038/s41586-018-0331-8;March;2018;June;2018;July;2018;July;2018;107;22;15
Evolution of a central neural circuit underlies Drosophila mate preferences;https://doi.org/10.1038/s41586-018-0322-9;March;2017;June;2018;July;2018;July;2018;435;36;15
Insights into clonal haematopoiesis from 8,342 mosaic chromosomal alterations;https://doi.org/10.1038/s41586-018-0321-x;August;2017;May;2018;July;2018;July;2018;287;56;8
Structure of the origin recognition complex bound to DNA replication origin;https://doi.org/10.1038/s41586-018-0293-x;January;2018;May;2018;July;2018;July;2018;102;57;8
Single-cell analysis of early progenitor cells that build coronary arteries;https://doi.org/10.1038/s41586-018-0288-7;July;2017;May;2018;July;2018;July;2018;302;36;15
Kinase-controlled phase transition of membraneless organelles in mitosis;https://doi.org/10.1038/s41586-018-0279-8;September;2017;May;2018;July;2018;July;2018;235;50;8
Structure of a human synaptic GABAA receptor;https://doi.org/10.1038/s41586-018-0255-3;February;2018;May;2018;June;2018;July;2018;86;41;8
IL-23 secreted by myeloid cells drives castration-resistant prostate cancer;https://doi.org/10.1038/s41586-018-0266-0;July;2017;May;2018;June;2018;July;2018;308;29;22
Structure of the adenosine-bound human adenosine A1 receptor–Gi complex;https://doi.org/10.1038/s41586-018-0236-6;February;2018;May;2018;June;2018;June;2018;99;35;8
Nuclear ARP2/3 drives DNA break clustering for homology-directed repair;https://doi.org/10.1038/s41586-018-0237-5;October;2017;April;2018;June;2018;July;2018;194;64;15
Nuclear F-actin and myosins drive relocalization of heterochromatic breaks;https://doi.org/10.1038/s41586-018-0242-8;June;2017;May;2018;June;2018;July;2018;337;33;15
Loss of coral reef growth capacity to track future increases in sea level;https://doi.org/10.1038/s41586-018-0194-z;November;2017;May;2018;June;2018;June;2018;188;36;7
Structural basis of mitochondrial receptor binding and constriction by DRP1;https://doi.org/10.1038/s41586-018-0211-2;July;2017;April;2018;June;2018;June;2018;266;51;8
Targeted therapy in patients with PIK3CA-related overgrowth syndrome;https://doi.org/10.1038/s41586-018-0217-9;March;2017;May;2018;June;2018;June;2018;441;28;15
Antarctic ice shelf disintegration triggered by sea ice loss and ocean swell;https://doi.org/10.1038/s41586-018-0212-1;July;2017;April;2018;June;2018;June;2018;269;71;8
An Early Cretaceous eutherian and the placental–marsupial dichotomy;https://doi.org/10.1038/s41586-018-0210-3;April;2018;May;2018;June;2018;June;2018;13;34;8
Cryo-EM structure of human rhodopsin bound to an inhibitory G protein;https://doi.org/10.1038/s41586-018-0215-y;December;2017;May;2018;June;2018;June;2018;141;42;15
Structure of the µ-opioid receptor–Gi protein complex;https://doi.org/10.1038/s41586-018-0219-7;December;2017;May;2018;June;2018;June;2018;124;40;15
Genomic atlas of the human plasma proteome;https://doi.org/10.1038/s41586-018-0175-2;March;2017;April;2018;June;2018;June;2018;395;40;1
